epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,286.766,1.22992,3.02797,1.61248,0.00461,1,0.26546,0.17995,0.8233,3.35935,1.44901,0.00162426,0.000541419,0.00162426,0.000541419,0.00162426,0.000541419,0.00162426,0.000541419
2,496.6,1.11776,2.89173,1.56306,0.00453,0.98276,0.4129,0.27447,0.78397,3.28912,1.40065,0.0032641,0.00108803,0.0032641,0.00108803,0.0032641,0.00108803,0.0032641,0.00108803
3,686.136,1.02668,2.68301,1.47708,0.46243,0.43699,0.46165,0.3397,0.85842,2.79473,1.39103,0.00487645,0.00162548,0.00487645,0.00162548,0.00487645,0.00162548,0.00487645,0.00162548
4,863.307,1.03385,2.35366,1.43715,0.45103,0.71264,0.46363,0.33865,0.86655,2.72046,1.40807,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574
5,1042.53,0.99262,2.17316,1.41493,0.49276,0.78162,0.51361,0.39607,0.8083,2.55277,1.34637,0.00483597,0.00161199,0.00483597,0.00161199,0.00483597,0.00161199,0.00483597,0.00161199
6,1221.88,0.97839,1.99891,1.3924,0.48999,0.78736,0.50809,0.37956,0.80275,2.3577,1.34484,0.00479471,0.00159824,0.00479471,0.00159824,0.00479471,0.00159824,0.00479471,0.00159824
7,1400.7,0.92947,1.80845,1.34938,0.504,0.72006,0.50266,0.39601,0.76821,2.19143,1.29104,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
8,1579.65,0.94774,1.77283,1.37495,0.45808,0.71962,0.5167,0.38473,0.789,2.19623,1.31223,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073
9,1761.31,0.90288,1.61718,1.31088,0.48101,0.64069,0.52883,0.403,0.77761,2.15679,1.28702,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698
10,1940.82,0.87248,1.58749,1.30093,0.48787,0.66231,0.5206,0.40641,0.73011,2.16047,1.24652,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323
11,2119.26,0.83286,1.52548,1.24467,0.59904,0.58329,0.51348,0.39977,0.71747,2.09617,1.24527,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947
12,2292.01,0.80854,1.49874,1.24172,0.47901,0.63793,0.49495,0.37553,0.74345,2.15682,1.26854,0.00454716,0.00151572,0.00454716,0.00151572,0.00454716,0.00151572,0.00454716,0.00151572
13,2470.19,0.79669,1.43136,1.27223,0.55556,0.5977,0.51243,0.39438,0.74803,2.13467,1.25662,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
14,2650.35,0.81808,1.44406,1.25426,0.48491,0.59438,0.4995,0.40226,0.69988,2.17467,1.21955,0.00446464,0.00148821,0.00446464,0.00148821,0.00446464,0.00148821,0.00446464,0.00148821
15,2829.13,0.74104,1.27901,1.21246,0.5731,0.57833,0.51663,0.40731,0.71817,2.18791,1.24643,0.00442338,0.00147446,0.00442338,0.00147446,0.00442338,0.00147446,0.00442338,0.00147446
16,3009.49,0.72885,1.28803,1.21812,0.53457,0.47884,0.46784,0.36504,0.70698,2.30892,1.217,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071
17,3189.07,0.77758,1.27755,1.21182,0.66954,0.54938,0.50813,0.39609,0.70109,2.20722,1.20833,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696
18,3367.48,0.72277,1.26529,1.2167,0.65588,0.54979,0.50449,0.40321,0.66737,2.17106,1.16721,0.00429961,0.0014332,0.00429961,0.0014332,0.00429961,0.0014332,0.00429961,0.0014332
19,3547.23,0.67291,1.15066,1.16386,0.66564,0.58046,0.5195,0.41452,0.68181,2.20265,1.19344,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
